2018-07-31 00:30:06 status half-installed libselinux1:armhf 2.4-3build2
2018-07-31 00:30:06 status unpacked libselinux1:armhf 2.4-3build2
2018-07-31 00:30:06 status unpacked libselinux1:armhf 2.4-3build2
2018-07-31 00:30:06 install libsemanage-common:all <none> 2.3-1build3
2018-07-31 00:30:06 status half-installed libsemanage-common:all 2.3-1build3
2018-07-31 00:30:06 status unpacked libsemanage-common:all 2.3-1build3
2018-07-31 00:30:06 status unpacked libsemanage-common:all 2.3-1build3
2018-07-31 00:30:06 install libsemanage1:armhf <none> 2.3-1build3
2018-07-31 00:30:06 status half-installed libsemanage1:armhf 2.3-1build3
2018-07-31 00:30:06 status unpacked libsemanage1:armhf 2.3-1build3
2018-07-31 00:30:06 status unpacked libsemanage1:armhf 2.3-1build3
2018-07-31 00:30:06 install libsepol1:armhf <none> 2.4-2
2018-07-31 00:30:06 status half-installed libsepol1:armhf 2.4-2
2018-07-31 00:30:06 status unpacked libsepol1:armhf 2.4-2
2018-07-31 00:30:06 status unpacked libsepol1:armhf 2.4-2
2018-07-31 00:30:06 install libsmartcols1:armhf <none> 2.27.1-6ubuntu3
2018-07-31 00:30:06 status half-installed libsmartcols1:armhf 2.27.1-6ubuntu3
2018-07-31 00:30:06 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2018-07-31 00:30:06 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2018-07-31 00:30:06 install libss2:armhf <none> 1.42.13-1ubuntu1
2018-07-31 00:30:06 status half-installed libss2:armhf 1.42.13-1ubuntu1
2018-07-31 00:30:06 status unpacked libss2:armhf 1.42.13-1ubuntu1
2018-07-31 00:30:06 status unpacked libss2:armhf 1.42.13-1ubuntu1
2018-07-31 00:30:06 install libsystemd0:armhf <none> 229-4ubuntu4
2018-07-31 00:30:06 status half-installed libsystemd0:armhf 229-4ubuntu4
2018-07-31 00:30:06 status unpacked libsystemd0:armhf 229-4ubuntu4
2018-07-31 00:30:06 status unpacked libsystemd0:armhf 229-4ubuntu4
2018-07-31 00:30:06 install libtinfo5:armhf <none> 6.0+20160213-1ubuntu1
2018-07-31 00:30:06 status half-installed libtinfo5:armhf 6.0+20160213-1ubuntu1
2018-07-31 00:30:06 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2018-07-31 00:30:06 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2018-07-31 00:30:07 install libudev1:armhf <none> 229-4ubuntu4
2018-07-31 00:30:07 status half-installed libudev1:armhf 229-4ubuntu4
2018-07-31 00:30:07 status unpacked libudev1:armhf 229-4ubuntu4
2018-07-31 00:30:07 status unpacked libudev1:armhf 229-4ubuntu4
2018-07-31 00:30:07 install libustr-1.0-1:armhf <none> 1.0.4-5
2018-07-31 00:30:07 status half-installed libustr-1.0-1:armhf 1.0.4-5
2018-07-31 00:30:07 status unpacked libustr-1.0-1:armhf 1.0.4-5
2018-07-31 00:30:07 status unpacked libustr-1.0-1:armhf 1.0.4-5
2018-07-31 00:30:07 install libuuid1:armhf <none> 2.27.1-6ubuntu3
2018-07-31 00:30:07 status half-installed libuuid1:armhf 2.27.1-6ubuntu3
2018-07-31 00:30:07 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2018-07-31 00:30:07 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2018-07-31 00:30:07 install locales:all <none> 2.23-0ubuntu3
2018-07-31 00:30:07 status half-installed locales:all 2.23-0ubuntu3
2018-07-31 00:30:08 status unpacked locales:all 2.23-0ubuntu3
2018-07-31 00:30:08 status unpacked locales:all 2.23-0ubuntu3
2018-07-31 00:30:08 install login:armhf <none> 1:4.2-3.1ubuntu5
2018-07-31 00:30:08 status half-installed login:armhf 1:4.2-3.1ubuntu5
2018-07-31 00:30:08 status unpacked login:armhf 1:4.2-3.1ubuntu5
2018-07-31 00:30:08 status unpacked login:armhf 1:4.2-3.1ubuntu5
2018-07-31 00:30:08 install lsb-base:all <none> 9.20160110
2018-07-31 00:30:08 status half-installed lsb-base:all 9.20160110
2018-07-31 00:30:08 status unpacked lsb-base:all 9.20160110
2018-07-31 00:30:08 status unpacked lsb-base:all 9.20160110
2018-07-31 00:30:08 install makedev:all <none> 2.3.1-93ubuntu1
2018-07-31 00:30:08 status half-installed makedev:all 2.3.1-93ubuntu1
